[ Pretrain | 134/500 ] loss = 2.1996
[ Pretrain | 135/500 ] loss = 1.5794
[ Pretrain | 136/500 ] loss = 1.9984
[ Pretrain | 137/500 ] loss = 1.8583
[ Pretrain | 138/500 ] loss = 2.9431
[ Pretrain | 139/500 ] loss = 1.6252
[ Pretrain | 140/500 ] loss = 1.6963
[ Pretrain | 141/500 ] loss = 1.9330
[ Pretrain | 142/500 ] loss = 1.9439
[ Pretrain | 143/500 ] loss = 1.9311
[ Pretrain | 144/500 ] loss = 1.4479
[ Pretrain | 145/500 ] loss = 1.4784
[ Pretrain | 146/500 ] loss = 1.4044
[ Pretrain | 147/500 ] loss = 1.4347
[ Pretrain | 148/500 ] loss = 1.9956
[ Pretrain | 149/500 ] loss = 1.8566
[ Pretrain | 150/500 ] loss = 1.3612
[ Pretrain | 151/500 ] loss = 1.7986
[ Pretrain | 152/500 ] loss = 1.5006
[ Pretrain | 153/500 ] loss = 2.0758
[ Pretrain | 154/500 ] loss = 1.6507
[ Pretrain | 155/500 ] loss = 1.9483
[ Pretrain | 156/500 ] loss = 2.1580
[ Pretrain | 157/500 ] loss = 1.7313
[ Pretrain | 158/500 ] loss = 1.6850
[ Pretrain | 159/500 ] loss = 1.5549
[ Pretrain | 160/500 ] loss = 1.7133
[ Pretrain | 161/500 ] loss = 1.6765
[ Pretrain | 162/500 ] loss = 1.7598
[ Pretrain | 163/500 ] loss = 1.5653
[ Pretrain | 164/500 ] loss = 1.6737
[ Pretrain | 165/500 ] loss = 1.6831
[ Pretrain | 166/500 ] loss = 1.9353
[ Pretrain | 167/500 ] loss = 2.2288
[ Pretrain | 168/500 ] loss = 2.1426
[ Pretrain | 169/500 ] loss = 1.6163
[ Pretrain | 170/500 ] loss = 1.5978
[ Pretrain | 171/500 ] loss = 2.2868
[ Pretrain | 172/500 ] loss = 2.1543
[ Pretrain | 173/500 ] loss = 1.5626
[ Pretrain | 174/500 ] loss = 1.5279
[ Pretrain | 175/500 ] loss = 1.7932
[ Pretrain | 176/500 ] loss = 1.9658
[ Pretrain | 177/500 ] loss = 2.4520
[ Pretrain | 178/500 ] loss = 2.1291
[ Pretrain | 179/500 ] loss = 1.9827
[ Pretrain | 180/500 ] loss = 1.3288
[ Pretrain | 181/500 ] loss = 1.9957
[ Pretrain | 182/500 ] loss = 2.2420
[ Pretrain | 183/500 ] loss = 1.7967
[ Pretrain | 184/500 ] loss = 1.7480
[ Pretrain | 185/500 ] loss = 1.6415
[ Pretrain | 186/500 ] loss = 1.2165
[ Pretrain | 187/500 ] loss = 1.6195
[ Pretrain | 188/500 ] loss = 1.4718
[ Pretrain | 189/500 ] loss = 2.2322
[ Pretrain | 190/500 ] loss = 1.2812
[ Pretrain | 191/500 ] loss = 2.0374
[ Pretrain | 192/500 ] loss = 1.5064
[ Pretrain | 193/500 ] loss = 1.6000
[ Pretrain | 194/500 ] loss = 1.5114
[ Pretrain | 195/500 ] loss = 2.1285
[ Pretrain | 196/500 ] loss = 1.5509
[ Pretrain | 197/500 ] loss = 1.5948
[ Pretrain | 198/500 ] loss = 1.1502
[ Pretrain | 199/500 ] loss = 1.2671
[ Pretrain | 200/500 ] loss = 1.6028
[ Pretrain | 201/500 ] loss = 2.5716
[ Pretrain | 202/500 ] loss = 1.1501
[ Pretrain | 203/500 ] loss = 1.3281
[ Pretrain | 204/500 ] loss = 2.4272
[ Pretrain | 205/500 ] loss = 1.7417
[ Pretrain | 206/500 ] loss = 1.7975
